Gene,X1726FL.06.01.33_S33_L002_COMB_MONO,X1726FL.06.01.32_S32_L002_COMB_MONO,X1726FL.06.01.31_S31_L002_COMB_MONO,X1726FL.06.01.27_S27_L002_COMB_Filter,X1726FL.06.01.26_S26_L002_COMB_Filter,X1726FL.06.01.25_S25_L002_COMB_Filter,X1726FL.06.01.24_S24_L002_COMB_Filter,X1726FL.06.01.23_S23_L002_COMB_Filter,X1726FL.06.01.22_S22_L002_COMB_Filter,X1726FL.06.01.21_S21_L002_COMB_Filter,X1726FL.06.01.09_S9_L002_COMB_Tissue3,X1726FL.06.01.08_S8_L002_COMB_Tissue3,X1726FL.06.01.07_S7_L002_COMB_Tissue4,X1726FL.06.01.06_S6_L002_COMB_Tissue4,X1726FL.06.01.05_S5_L002_COMB_Tissue4,X1726FL.06.01.04_S4_L002_COMB_Tissue3,X1726FL.06.01.03_S3_L002_COMB_Tissue2,X1726FL.06.01.02_S2_L002_COMB_Tissue2,X1726FL.06.01.01_S1_L002_COMB_Tissue2
CHLRE_01g000017v5,0,2,2,0,0,0,1,0,2,0,0,12,7,41,0,1,0,2,2
CHLRE_01g000033v5,1,0,4,0,2,2,1,2,3,0,11,5,14,62,109,4,2,0,14
CHLRE_01g000050v5,106,224,95,4,4,9,26,27,49,17,258,441,336,385,898,121,4,5,20
CHLRE_01g000100v5,43,69,29,0,0,9,27,11,36,9,109,254,159,54,225,86,0,0,19
CHLRE_01g000150v5,8,21,0,1,0,3,5,19,1,0,25,73,272,87,216,14,20,5,26
CHLRE_01g000200v5,66,157,41,1,0,6,15,6,8,6,99,122,177,130,218,66,2,0,37
CHLRE_01g000250v5,459,682,514,23,30,207,124,205,104,42,948,828,721,470,1213,1021,55,16,258
CHLRE_01g000300v5,4449,6947,5111,522,570,4364,1087,1873,1076,546,12424,5558,4688,3444,7380,17122,708,102,4940
CHLRE_01g000350v5,540,794,752,3,6,36,95,49,99,56,297,684,565,302,845,176,16,8,208
CHLRE_01g000400v5,104,144,93,25,15,71,12,58,11,12,438,451,184,118,155,147,14,6,58
CHLRE_01g000450v5,721,834,671,94,74,182,151,289,219,72,919,1585,760,766,1704,427,62,7,171
CHLRE_01g000500v5,648,890,290,12,23,34,90,145,145,56,213,404,158,296,399,198,6,3,43
CHLRE_01g000550v5,2,9,1,0,0,0,0,0,0,1,7,9,6,0,0,2,0,0,3
CHLRE_01g000600v5,861,1029,667,30,28,123,86,175,132,62,1221,1052,903,897,2412,505,67,9,218
CHLRE_01g000650v5,1432,2121,702,140,146,1661,309,259,443,217,3838,2000,1466,709,2584,3920,235,25,2757
CHLRE_01g000700v5,4,22,22,4,0,1,0,1,1,2,5,27,17,96,0,8,0,0,0
CHLRE_01g000750v5,34,69,52,1,1,11,13,5,32,5,64,89,106,37,80,97,9,0,54
CHLRE_01g000800v5,90,58,80,5,11,6,13,55,20,5,95,177,86,73,282,34,4,0,22
CHLRE_01g000850v5,1174,1238,872,76,90,224,237,554,228,91,1023,1768,1046,1360,2402,476,92,1,228
CHLRE_01g000900v5,1126,2762,1636,50,60,356,217,240,241,148,3709,2011,1605,1577,2778,4212,113,26,891
CHLRE_01g000950v5,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0
CHLRE_01g001000v5,2,6,0,0,0,0,0,2,0,0,0,4,4,0,0,0,2,0,0
CHLRE_01g001100v5,173,529,133,11,16,84,68,31,78,41,929,1452,1857,1199,2755,868,44,3,227
CHLRE_01g001150v5,20,45,43,0,2,1,4,4,3,1,23,35,46,130,40,27,1,0,9
CHLRE_01g001200v5,136,88,160,1,4,8,29,24,50,12,151,353,124,303,550,100,12,0,43
CHLRE_01g001250v5,42,65,79,0,0,0,2,2,17,4,21,20,13,0,66,12,6,0,13
CHLRE_01g001300v5,23,56,19,3,2,1,20,8,9,2,66,100,50,155,67,24,2,0,8
CHLRE_01g001350v5,6,30,7,0,1,2,3,2,5,1,51,104,57,0,73,18,0,0,8
CHLRE_01g001400v5,102,357,167,60,29,155,36,51,37,24,343,183,246,192,322,664,86,39,585
CHLRE_01g001450v5,10,52,11,2,0,4,4,0,8,1,5,22,34,0,0,10,5,0,1
CHLRE_01g001501v5,4,15,7,0,0,0,1,0,1,0,18,13,20,0,4,1,3,0,4
CHLRE_01g001550v5,1114,1481,1282,50,53,389,237,293,340,105,1701,2862,1243,999,2401,703,34,6,173
CHLRE_01g001600v5,98,177,94,2,3,14,17,24,24,7,290,496,185,116,156,240,33,11,148
CHLRE_01g001650v5,0,10,0,0,0,0,0,0,0,2,6,11,13,0,91,4,0,0,6
CHLRE_01g001657v5,269,275,224,2,6,17,63,45,102,24,191,421,649,983,1350,110,14,2,56
CHLRE_01g001664v5,228,308,164,0,3,2,30,9,39,6,32,76,12,0,163,15,12,2,6
CHLRE_01g001671v5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
CHLRE_01g001678v5,371,437,481,13,24,60,76,72,127,39,645,717,622,449,706,456,96,20,220
CHLRE_01g001685v5,1,0,6,0,0,0,0,0,2,0,0,1,3,0,0,1,1,0,1
CHLRE_01g001700v5,21,32,11,1,1,3,8,2,0,1,13,63,4,1,136,25,1,0,9
CHLRE_01g001750v5,1312,1134,554,53,46,120,188,504,326,108,2002,3172,1349,2014,2848,386,135,19,230
CHLRE_01g001800v5,625,940,229,47,52,299,86,117,104,51,837,986,466,211,1534,727,100,14,284
CHLRE_01g001950v5,105,227,131,4,5,44,25,33,37,13,249,369,250,240,335,256,10,0,128
CHLRE_01g001983v5,118,443,101,53,40,506,118,215,122,50,573,381,415,100,323,1052,191,32,549
CHLRE_01g002050v5,18,87,47,5,8,95,18,18,9,5,212,122,237,0,363,222,17,8,125
CHLRE_01g002100v5,194,330,218,16,11,81,26,40,69,16,668,601,575,480,906,498,42,7,215
CHLRE_01g002150v5,23,158,20,1,3,4,10,24,2,2,37,31,37,0,0,33,2,0,11
CHLRE_01g002200v5,449,572,415,18,16,89,44,55,56,39,621,854,570,642,1150,237,24,0,96
CHLRE_01g002201v5,1,2,1,0,0,0,0,0,0,0,0,11,5,69,0,1,0,0,0
CHLRE_01g002203v5,0,0,1,3,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0
CHLRE_01g002227v5,75,90,79,0,0,7,8,3,17,7,118,134,77,0,232,29,13,4,2
CHLRE_01g002234v5,136,129,81,6,18,43,12,26,16,3,303,201,156,332,340,155,24,9,54
CHLRE_01g002250v5,1470,1438,1323,56,101,197,284,496,311,175,1359,1996,897,1067,1834,678,7,0,56
CHLRE_01g002300v5,3444,4284,2618,559,504,3365,1006,2802,700,365,16150,14914,11154,10607,23354,10379,1115,210,2615
CHLRE_01g002350v5,50,157,60,3,2,3,18,20,17,16,196,456,317,298,670,178,9,3,40
CHLRE_01g002400v5,30,70,53,0,1,0,10,11,10,5,81,145,121,99,135,28,5,0,10
CHLRE_01g002451v5,10,35,10,0,0,0,3,0,3,1,20,135,83,0,36,12,1,1,10
CHLRE_01g002500v5,1626,2193,1767,76,76,384,249,410,259,135,1567,2543,2407,2119,3896,1103,112,26,542
CHLRE_01g002550v5,1325,1713,775,48,50,243,166,224,264,116,1566,1858,716,1041,1505,1004,89,7,313
CHLRE_01g002600v5,6,13,6,1,2,3,1,0,0,0,0,2,5,0,43,1,0,0,0
CHLRE_01g002650v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
CHLRE_01g002700v5,10,16,14,0,0,4,1,6,0,2,5,23,39,0,153,8,0,0,0
CHLRE_01g002750v5,8,9,18,2,1,2,1,5,7,3,14,8,20,41,172,7,3,0,12
CHLRE_01g002787v5,2,4,2,0,1,0,6,0,8,1,7,12,8,33,0,10,5,2,8
CHLRE_01g002824v5,0,2,0,0,0,1,0,0,0,0,0,1,3,0,0,3,0,0,0
CHLRE_01g002861v5,177,369,131,7,26,66,84,80,140,35,357,328,155,207,181,356,38,12,107
CHLRE_01g002900v5,413,735,78,0,2,1,34,5,43,18,127,162,25,0,0,80,0,0,0
CHLRE_01g002950v5,125,234,104,2,1,0,12,2,23,7,160,249,123,81,196,50,4,4,31
CHLRE_01g003000v5,3,10,1,0,0,0,0,0,0,2,0,12,5,46,0,2,0,0,10
CHLRE_01g003050v5,3,14,17,0,0,2,0,0,6,0,5,10,32,70,0,14,6,0,14
CHLRE_01g003100v5,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,3,0,5
CHLRE_01g003150v5,204,346,218,21,19,84,33,85,60,34,337,706,489,299,524,370,23,6,79
CHLRE_01g003200v5,7,31,9,2,1,2,2,3,6,5,62,82,47,0,0,17,7,2,43
CHLRE_01g003250v5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHLRE_01g003300v5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0
CHLRE_01g003376v5,216,431,240,13,12,60,54,72,58,27,634,1151,821,776,1097,505,14,5,207
CHLRE_01g003450v5,13,27,38,0,0,2,7,9,13,2,15,55,108,96,155,26,6,0,1
CHLRE_01g003463v5,110,340,150,2,3,20,32,9,38,16,178,316,264,291,635,129,9,1,79
CHLRE_01g003475v5,1,2,5,0,0,0,0,0,5,0,0,0,1,0,0,2,0,0,0
CHLRE_01g003487v5,10,35,22,0,0,0,8,5,8,1,23,21,54,0,150,21,4,0,6
CHLRE_01g003500v5,7,42,23,1,2,8,1,1,4,1,1,13,20,71,78,34,0,0,0
CHLRE_01g003508v5,6,47,7,0,0,0,4,0,4,0,44,66,49,14,43,41,3,4,23
CHLRE_01g003516v5,587,797,366,66,65,169,142,165,220,83,963,1078,1155,946,3090,831,95,25,286
CHLRE_01g003524v5,2738,3853,1469,64,93,214,260,241,456,254,1402,1852,649,450,1268,1174,22,4,117
CHLRE_01g003532v5,10,21,6,0,0,2,1,3,7,1,12,6,4,0,1,19,0,1,0
CHLRE_01g003541v5,0,2,1,2,1,0,1,0,0,0,0,1,1,0,33,0,0,0,2
CHLRE_01g003550v5,59,138,108,7,9,16,36,26,48,5,65,212,102,294,241,28,0,0,24
CHLRE_01g003600v5,1,6,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,3
CHLRE_01g003650v5,433,617,267,34,57,341,63,151,45,44,1180,1507,396,663,739,682,113,10,487
CHLRE_01g003700v5,15,23,22,1,0,1,8,12,12,4,34,61,43,95,189,29,0,0,2
CHLRE_01g003751v5,26,57,24,0,0,1,12,0,12,6,7,70,2,0,0,17,4,0,9
CHLRE_01g003800v5,28,31,8,8,6,18,8,4,0,1,56,83,20,96,0,36,14,2,48
CHLRE_01g003826v5,57,55,12,41,41,80,12,80,1,1,136,288,50,152,44,143,65,14,122
CHLRE_01g003850v5,1,4,0,5,15,11,29,109,1,0,519,972,49,107,135,39,8,8,52
CHLRE_01g003950v5,325,281,170,3,0,8,69,61,127,38,344,522,282,559,425,50,16,0,32
CHLRE_01g004000v5,421,473,415,65,64,188,65,282,77,35,644,990,479,683,585,317,52,6,95
CHLRE_01g004050v5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1
CHLRE_01g004124v5,263,531,96,63,137,307,462,889,669,274,2403,1325,1191,1396,2370,2542,156,21,146
CHLRE_01g004157v5,9691,8365,6238,25,85,116,1420,295,3126,1360,1178,1009,996,1255,2695,1341,106,39,313
CHLRE_01g004200v5,146,357,107,8,3,77,32,39,33,16,568,549,330,157,171,427,23,0,90
CHLRE_01g004250v5,2431,3060,951,159,143,383,253,461,339,167,2064,2431,1256,887,2580,1819,108,30,271
CHLRE_01g004300v5,3741,4377,3665,136,167,2005,609,1309,795,420,5641,9370,4154,4168,6015,2176,1695,324,4393
CHLRE_01g004350v5,193,358,291,1,10,98,47,42,69,30,517,485,641,501,707,793,96,30,597
CHLRE_01g004400v5,401,483,207,8,9,9,39,98,56,34,200,317,129,39,376,150,18,12,29
CHLRE_01g004450v5,325,315,227,13,13,83,75,260,75,37,352,836,450,230,1016,92,153,39,194
CHLRE_01g004500v5,6329,6236,6825,262,241,3810,849,2299,865,463,5829,6425,3017,3926,6186,3235,1394,277,4499
CHLRE_01g004550v5,165,420,56,2,5,16,42,10,74,22,268,330,182,331,265,222,7,1,20
CHLRE_01g004600v5,318,674,343,217,192,569,151,327,161,46,1685,1182,1058,818,1353,1780,351,66,673
CHLRE_01g004651v5,276,276,279,25,28,103,33,63,36,10,172,245,196,0,464,158,16,12,65
CHLRE_01g004700v5,27,42,3,1,6,1,10,1,5,2,64,64,58,184,56,39,88,7,53
CHLRE_01g004750v5,0,0,0,1,5,1,1,2,0,0,12,17,3,0,112,8,11,0,41
CHLRE_01g004800v5,12216,12611,10706,260,243,812,1154,648,2279,1097,7935,5169,3108,3185,5205,8836,542,47,716
CHLRE_01g004850v5,19,52,41,0,2,1,3,3,20,1,8,40,60,81,174,39,1,0,16
